ID;Název;Stavba;Investor;Klient;"Rozsah služby";Realizace;"Rozpočtové náklady";Popis;Datum;Č.zak.;HIP;Menu;"Významná reference"
35;"Lávka Ocelářská";"Cyklostezka Rokytka, Lávka přes ul. Ocelářskou, Praha 9";"OMI MHMP";"OMI MHMP";"DUR 2006, DSP 2007, RDS 2009";2009;"40 mil. Kč";"Navrhovaná lávka propojuje stávající cyklotrasu podél Rokytky s mostním objektem přes ulici Freyova, kde začíná násypové těleso nově navrhované cyklostezky. Hlavní překonávanou překážkou je Ocelářská ulice, která zajišťuje přístup k hale Sazka. Součástí objektu je rovněž část cyklostezky, vedená na násypu mezi Rokytkou a severní opěrou mostu, včetně gabionové zídky.%%Hlavním limitujícím faktorem při návrhu mostního objektu bylo množství inženýrských sítí, vedených v prostoru křižovatky ulic Freyova a Ocelářská, jejichž ochranná pásma prakticky znemožňují umístění podpor mostního objektu. Po prověření řady variant byla navržena zavěšená ocelová konstrukce o dvou polích rozpětí 2x52,0m, která plynulým půdorysným i výškovým obloukem propojuje prostor u Rokytky s předpolím mostu Freyova. Překonávaný výškový rozdíl je cca 7,60m.%%Dalším omezujícím prvkem při návrhu objektu byla připravovaná investice Moravské ocelářské a.s., která připravuje v těsné blízkosti křižovatky Freyovy a Ocelářské výstavbu vícepodlažního komplexu Eliška. Požadavky investora, který je vlastníkem pozemků na západním předpolí mostu Freyova, podmínily zásadním způsobem vedení cyklostezky v daném úseku a umístění jižní opěry mostu. Přitom je definitivní vedení trasy umožněno až po kolaudaci připravované budovy.";"12. 03. 2015";15408.6-1;VV;mosty;
83;"Letní kino Jablonec";"Rekonstrukce areálu letního kina Jablonec nad Nisou";"Město Jablonec nad Nisou";"PROSTOR 008 s.r.o.";"DUR 2009";2009;"5 mil. Kč";"Areál letního kina se nachází v centrální části Jablonce n. Nisou u páteřní komunikace Palackého. Vlastní park, ve kterém je letní kino situováno je ohraničen ulicemi Palackého Pod Baštou, U Jeslí a východním směrem ulice Saskovou. %%_x000D_V rámci řešení byla prověřována doprava v klidu, zda vyhovuje kapacitně pro rekonstruovaný areál letního kina. Bylo uvažováno se špičkovými letními měsícemy, kdy se uvažovalo průměrné vytížení kina 60%, tj. 69 parkovacích stání. Tuto kapacitu pokrývají stávající parkovací plochy v docházkové blízkosti kina. %%_x000D_
Z hlediska technického řešení se jedná o návrh komunikací pro pěší a zásobování v prostoru areálu letního kina včetně návazných zpevněných ploch. Komunikace jsou navrženy tak, aby poskytovaly přístup od jednotlivých vstupů k areálu letního kina a zároveň aby sloužily jako pro relaxaci a oddech návštěvníků areálu. Jedná se chodníky a zpevněné plochy s živičným povrchem, které jsou doplněny areálovými cestičkami s mlatovou konstrukcí. Celkový rozsah komunikací a zpevněných ploch je cca 3000m2._x000D_
";"12. 03. 2015";29109.1-2;JH;dstavby;
80;"McD Plzeň";"Restaurace McDonalds";"McDonalds ČR spol. s r.o.";"ARA, spol. s r.o.";"DPS 2010";2010;"3 mil. Kč";"Jedná se o návrh komunikací a zpevněných ploch u nově postavené restaurace Mc. Donalds v nákupním centru v Plzni. Stavba ploch je koordinována se stavbou parkoviště Hornbachu i víceúčelové prodejny. Jedná se o nejbližší okolí objektu z hlediska chodníkových ploch a drive komunikace. Parkovací stání jsou řešena v rámci návazných parkovišť, a to i včetně příjezdu a výjezdu. Okolo celé budovy je navržena dlážděná chodníková plocha, která zajišťuje pohodlnou dostupnost restaurace pro návštěvníky. Rozsáhlejší zpevněné chodníkové plochy se nacházejí podél severní strany objektu. Podél západní a jižní strany je navržena drive komunikace šířky 3.0m.";"12. 03. 2015";31810.1-2;JB;dstavby;
9;"Ml. Boleslav - Přeložka trati";"Přeložka železniční trati Mladá Boleslav, komunikace a mostní objekty";"ČD DDC, SS Praha";"SUDOP PRAHA a.s.";"DUR 2002, DSP 2002, RDS 2002 - 2003";"2002 - 2003";"60 mil. Kč";"V rámci přeložky železniční trati v centru Mladé Boleslavi je navržen křižovatkový mostní objekt, který převádí jednu z hlavních městských ulic tř. Václava Klementa přes zahloubenou železniční trať. Mostní objekt o šířce cca 32 m mezi připravovanými stavbami Bondy centra na straně severní a Severovýchodní tangenty a Zákaznického centra firmy Škoda Auto na straně jižní včetně souběžně vedené lávky pro pěší a příslušného úseku křižovatek na předpolích mostu bylo nutno budovat za plného železničního i silničního provozu. Problematický byl proto hlavně postup výstavby, sestávající z několika etap (vlastní mostní objekt byl budován po polovinách), a organizace hlavní výluky, převádějící železniční trať do zářezu. V rámci výstavby mostu a křižovatky bylo dále nutno koordinovat množství přeložek inženýrských sítí. Hlavní mostní objekt je navržen jako monolitický deskový rozpěrák, založený plošně na opěrách ve svahu zářezu trati. Současně s hlavním mostním objektem byly navrženy a vybudovány rovněž spodní stavby dalších připravovaných mostních objektů podél zářezu, a to tzv. Zakrytí trati a mostu na autobusové nádraží. Tyto mostní objekty byly realizovány později v rámci staveb Severovýchodní tangenta a Bondy centrum Mladá Boleslav.";"12. 03. 2015";03706.8-2;VV;mosty;
10;"Ml. Boleslav - SVT";"Mladá Boleslav - Severovýchodní tangenta";"Město Mladá Boleslav";"SUDOP PRAHA a.s.";"DSP 2006, DZS 2006, RDS 2007";2007;"50 mil. Kč";"Severovýchodní tangenta v celé trase bude nová městská komunikace v délce cca 1,7 km, která spojí třídu V. Klementa (křižovatka ¨Slovanka¨) s ulicí Jičínskou (okružní křižovatka u Intersparu). První část v délce 265 m řeší úsek od tř. V. Klementa za nový most na autobusové nádraží v základní  kategorii MS 20/60 - čtyřpruhová směrově rozdělená komunikace. Trasa sleduje polohu zahloubené trati ČD, řeší dopravní napojení nového autobusového nádraží a dále  Bondi centra a napojení areálu Zákaznického centra Škody Auto. Součástí stavby jsou i přeložky a úpravy inženýrských sítí / kanalizace, sběrač E včetně přípojek uličních vpustí, veřejné osvětlení. Konstrukce vozovky je navržena s krytem živičným na velmi těžký provoz. Podél trasy je navržen jednostranný chodník a zárodek budoucí cyklostezky. V počátek trasy je situován do rozšířené, světelnou signalizací osazené, křižovatky tangenty s třídou V. Klementa. Část křižovatky je umístěna na novém mostě přes zahloubenou trať ČD. Bodovaný úsek přeložky končí novým mostním objektem na autobusové nádraží. Dispoziční řešení mostního objektu vychází z požadavků investora Bondy centra a zároveň požadavků výhledové obsluhy objektů ČD a autobusového stanoviště. Jedná se o nadjezd pozemní komunikace přes jednokolejnou trať ČD o 1 poli s horní mostovkou, trvalý, nepohyblivý, trámový z prefabrikovaných nosníků, spřažených se železobetonovou deskou mostovky. Délka přemostění činí 18,057 m, délka mostu 25,5 m. Mostní objekt byl navržen jako čtyřpruhový, volná šířka vozovky 16,0 m, s oboustrannými chodníky šířky 3,0 m.";"12. 03. 2015";03704.6-2;VV;mosty;
92;"Most Březno";"Rekonstrukce mostu přes Klenici, Březno";"Středočeský kraj";"SaM Česká Lípa";"RDS, DSPS 2009";2009;"10 mil.Kč";"Stavba se nachází v intravilánu obce Židněves, v těsném kontaktu s okrajem obce Březno. Most v intravilánu obce Židněves na okraji Března převádí silnici II/280 přes řeku Klenici. Stávající mostní konstrukce o dvou polích (1.pole – kamenný oblouk, 2.pole – železobetonový prostý nosník) byla odstraněna a nahrazena železobetonovou rámovou konstrukcí o jednom poli.%%_x000D__x000D_
Křížení mostu s vodotečí je šikmé pod úhlem 95gon, šířka mezi zábradlími je 9,70m, světlost opěr je 19,50m. Nosnou konstrukci tvoří monolitický železobetonový rám s rozpětím 21.05 m. Do opěr jsou vetknuta rovnoběžná zavěšená křídla. Založení mostu je hlubinné, původně navržené mikropiloty byly při realizaci nahrazeny vrtanými pilotami D=600mm. %%_x000D_
_x000D_
Zajímavostí je velice zdařilé osazení mostu do terénu a kvalita provedení dokončovacích prací._x000D_
";"12. 03. 2015";26309.1-1;VV;mosty;
33;"Most přes Pitkovický potok";"Ulice K Dálnici, most přes Pitkovický potok, Praha 10 Pitkovice";"TSK hl. m. Prahy";"TSK hl. m. Prahy";"DUR 2002, DSP 2003, RDS 2005-2006";2007-2008;"20 mil. Kč";"Předmětem stavby je výstavba nového mostu přes Pitkovický potok,vyvolané přeložky inženýrských sítí a úprava koryta Pitkovického potoka pod mostem. Původní most byl v havarijním stavu a jeho rekonstrukce by neměla smysl, proto investor přistoupil k celkové výměně konstrukce. Stavba byla umístěna na kraji obce Uhříněves na komunikaci II/310 spojující Uhříněves s Průhonicemi. Intenzita provozu na komunikaci je vzhledem k její propojovací funkcí obce s dálnicí značná. V návaznosti na šířkové uspořádání a charakter komunikace v ulici K Dálnici byla navržena na mostě komunikace třídy MS 9/60 s chodníky šířky 2,25 m a 0,75 m. Komunikace je v daném místě vedena po násypu. Na vtoku stávajícího mostu se nachází rozsáhlé záplavové území Pitkovického potoka. Podél mostu jsou vedeny inženýrské sítě, které byly v rámci stavby nově přeloženy pod koryto potoka a samostatnou lávku umístěnou vedle mostu. Kromě těchto přeložek bylo nutné navrhnout objízdné trasy pro městskou autobusovou dopravu. Celková délka rekonstruovaného úseku včetně komunikace činila 67,50 m. Nový most byl navržen jako spřažená konstrukce (beton-beton) s rozpětím 20,20 m. Opěry jsou založeny na pilotách &#61542; 900 mm délky  až 9 m. Nosnou konstrukci tvoří 6 prefabrikovaných předpjatých nosníků tvaru „T“ s monolitickou spřahující deskou. Nosníky jsou zakončeny koncovým příčníkem, který je osazen na elastomerová ložiska. Na pravé straně mostu je umístěn obslužný chodník šířky 0,75 m, na levé straně mostu je umístěn chodník šířky 2,25 navazující na přilehlou zástavbu v ulici K Dálnici. Velká pozornost byla věnována úpravě koryta pod mostem. Na stávajícím stavu bylo jasně zřetelné, že voda při zvýšeném průtoku způsobila pod mostem značné škody ohrožující konstrukci mostu. Proto byl prostor pod mostem upraveno kamennou dlažbou zakončenou betonovými prahy, svahy byly odlážděny až k opěrám. Pod mostem byla z dlažby vytvořena nová kyneta a také bylo upraveno směrové vedení potoka pod mostem %%Most byl dokončen v roce 2005.";"12. 03. 2015";01705.3-1;PK;mosty;
12;"Mosty Rokytka";"Cyklostezka Rokytka, mostní objekty";"OMI MHMP";"OMI MHMP";"DUR 2006, DSP 2007, RDS 2009";"2006 - 2007";"86 mil. Kč";"Nová cyklostezka v Praze 9 v délce cca 3,5km propojuje oblast Hořejšího rybníka s křižovatkou ulic Ocelářská a Freyova, v převážné části je vedena po tělese zrušené železniční vlečky ČKD._x000D_Navrhovaná stavba je součástí širšího záměru vybudovat v prostoru kolem říčky Rokytky, v úseku mezi Hořejším rybníkem a ulicí Freyovou pás ploch zeleně a rekreace. V převážné části své délky cyklostezka využívá tělesa bývalé železniční vlečky. Stezka logicky propojuje trasu od Libně a Troje ( navazuje na již vybudovaný úsek od Kolčavky po ulici Freyova ) se směrem Kyje a Počernice ( od Hořejšího rybníka pokračuje cyklotrasa ve směru ke Kyjskému rybníku po stávajících komunikacích a panelových cestách ). Celková délka nově navrhované trasy je 3 424,5 m, z toho asfaltová cyklostezka 3 149,5 m, stezka s mlatovým povrchem 275 m._x000D_
V rámci stavby cyklostezky je nově navrženo nebo rekonstruováno celkem 6 mostních objektů. Jedná se o mimoúrovňové křížení s ulicemi Ocelářskou (nová lávka viz samostatná reference), Freyovou (rekonstrukce stávajícího železničního mostu), U Elektry  (nová lávka) a Poděbradskou (rekonstrukce stávajícího železničního mostu). Součástí stavby je dále vybudování 2 nadjezdů v prostoru východně od ulice U Elektry, které budou sloužit jako mimoúrovňové příjezdy do podzemních garáží nově připravovaných bytových domů._x000D_
V souvislosti s výstavbou nových bytových domů staveb „Rezidence nad Rokytkou“ bylo realizováno rozšíření ulice U Elektry, stávající podjezd procházející násypovým tělesem bývalé železniční vlečky byl proto demolován. Nová lávka převádějící cyklostezku s chodníkem je navržena jako ocelobetonová konstrukce o jednom poli rozpětí 21,0m, zavěšená na ocelovém oblouku._x000D_
Stávající vlečkové mosty přes ulici Freyovu a Poděbradskou byly rekonstruovány nabetonováním nové mostovky a úpravou mostního svršku. Nové nadjezdy nad připravovanými přístupy do podzemních garáží jsou navrženy jako železobetonové rámové konstrukce.";"12. 03. 2015";15408.6-1;VV;mosty;1
32;"Mosty Svojšín";"Optimalizace trati Stříbro - Planá u M.L., křižovatka Svojšín";"SŽDC s.o., SS Plzeň";"SUDOP Praha a.s.";"DÚR 2004-2006, DSP+RDS 2006-2007";2008;"60 mil. Kč";"Obcí Svojšín prochází silnice III/1992 Stříbro–Svojšín–Ošelín, která úrovňově křížila železniční trať. Úprava kolejiště zastávky Svojšín a zrušení úrovňového přejezdu vyvolalo potřebu vybudování mimoúrovňového křížení přeložky silnice III.třídy. V prostoru rušeného úrovňového přejezdu se nacházel přesypaný železniční most přes vodoteč, který kromě železniční trati převáděl paralelně vedenou nezpevněnou obslužnou komunikaci._x000D_%%Nové mimoúrovňové křížení železniční trati s přeložkou silnice III.třídy zásadně mění původní dispozici komunikací, navrženy jsou tři nové mostní objekty. V horní úrovni jsou navrženy dva samostatné mosty železniční a silniční, vlastní přeložka III.třídy je vedena ve spodní úrovni pod oběma mosty. Stávající přesypaný železniční most je v důsledku posunutí trasy přeložky III/1992 pod nové mostní objekty částečně ubourán, ale i prodloužen a upraven na přesypaný silniční most, aby mohla být přeložená komunikace III.třídy vedena nad zatrubněnou vodotečí._x000D_
%%_x000D_
%%SO 54-38-05 Přestavba železničního mostu ev.km 390,703 na most silniční_x000D_
%%Stávající most má odbouraná křídla, klenbu a část opěr, na kterých je vybetonována nová železobetonová deska. Z obou stran je most rozšířen železobetonovou rámovou konstrukcí, na kterou navazují šikmá železobetonová křídla. Křídla na jedné straně tvoří  opěrné zdi přeložené místní komunikace, na druhé straně jsou navržena  jako šikmá svahová._x000D_
%%_x000D_
%%SO 55-38-21 Železniční most v km 390,780_x000D_
%%Nosná konstrukce objektu je navržena jako sdružená pro dvě koleje, spřažená, ocelo-betonová o rozpětí 19,0m. ";"12. 03. 2015";11806.5-1;VV;mosty;
22;NDKV;"Národní dům Karlovy Vary";"ELTODO Národní dům s.r.o.";"F2 Architekti a Partneři a.s.";"DUR 2006, DSP 2007, RDS 2008";2008-2009;"120 mil. Kč";"Navrhovaný hotelový komplex je tvořen starou budovou Národního domu a novou částí, dostavbou přilehlé proluky, které dohromady vytváří jeden funkční provázaný celek. Hlavní vstup do hotelu, recepce, lobby, dále pak garážová stání a příjezd pro zásobování hotelu budou realizována v nové části, čímž odlehčí historickým prostorům Národního domu a umožní samostatný vstup do multifunkčního sálu a restaurací komplexu.%%Starý objekt má 5 nadzemních podlaží a 2 suterény. V přízemí a 1. suterénu se nachází multifunkční sál s jevištěm a zázemím, hlavní vstup pro  veřejnost bude ze třídy T.G.Masaryka. Z pěší zóny z ulice Zeyerova bude přístupná samostatně fungující pivnice, situovaná rovněž v úrovni 1. suterénu. Provozní vstup do sálu bude z ulice Jugoslávské. V přízemí Národního domu bude dále situována hotelová restaurace a kavárna. Ve 2. suterénu je situováno technické zázemí objektu. V 1. až 4. patře budou zachována hotelová patra s pokoji hostů.%%_x000D_Nový objekt bude mít 6 nadzemních plus jedno ustupující podlaží a 3 suterény. V suterénech bude zajištěno parkování pro celý komplex a technické zázemí. Příjezd do garáží a pro zásobování bude z ulice Jugoslávská na úroveň 1. suterénu. Pro hotelové hosty bude prostor garáží přímo napojen výtahem a schodištěm na provoz lobby v přízemí. Hlavní vstup hostů do hotelu bude z ulice Zeyerova do prostoru recepce a lobby v nové dostavované části. V přízemí a části 1. suterénu jsou navrženy obchodní plochy, které budou přístupné z ulic Zeyerova a Varšavská. V mezaninu a 1. -  4. patře budou hotelová patra s pokoji hostů, celkový počet - 260 lůžek. V 5. patře budou komerčně provozované kancelářské plochy, s přístupem z prostoru přízemí.%%_x000D_
Nosná konstrukce objektu je navržena jako stěnodeskový systém z monolitického železobetonu, podzemní část včetně průběžné základové desky je navržena jako vodotěsná bílá vana. S ohledem na velmi komplikované geologické poměry podloží je problematické zejména založení objektu ve spodní vodě. Konstrukce je navržena jako jeden dilatační celek, jednotlivé části objektu mají proměnnou výšku a tím i přitížení základové spáry a tuhost podloží je velice proměnlivá. Interakce objektu spodložím musela být proto vyšetřována iteračním nelineárním výpočtem a plošná základová deska byla lokálně podepřena vrtanými pilotami.";"12. 03. 2015";18408.2-1;VV;pstavby;
53;"Nehvizdy Jih";"Komerční zóna Nehvizdy Jih";"ARI stavební";"ARI stavební";"DSP 2008";2009;"50 mil. Kč";"Silnice II/611 je komunikace spojující Prahu a Poděbrady. Přestože je v relativní blízkosti dálnice D11, se kterou je souběžná, intenzity na silnici jsou poměrně vysoké. Proto je z důvodů bezpečnosti a plynulosti dopravy v přilehlé obci Nehvizdy projektován obchvat, který převede veškerou tranzitní dopravu mimo centrum obce. Komunikace v I. etapě je navržena kategorie MS2c 13,5/9,25/50. Nově navrhovaný obchvat je napojen na stávající II/611 pomocí okružní křižovatky se čtyřmi větvemi.%%_x000D_Z důvodů těsné blízkosti nově budovaných průmyslových objektů je součástí návrhu i vyprojektování dvou místních obslužných komunikací kategorie MO2 9,5/8/40. Obě dvě komunikace jsou navrženy a navzájem propojeny v ortogonálním schématu, jedna místní komunikace je rovněž napojena na stávající II/611, komunikace druhá je potom napojena na nově projektovaný obchvat. Obě budou sloužit převážně pro přístup a obslužnost přilehlých průmyslových objektů a areálů._x000D_
";"12. 03. 2015";23108.1-2;JB;dstavby;
63;Neoriviera;"Neoriviera Modřany – objekty ABCD";"Neocity Group CZ";"Loxia a.s.";"DSP 2008, DPS 2010";připravována;"12 mil. Kč";"Projekt řeší novou síť obslužných komunikací, které budou postaveny v rámci stavby obytného komplexu Neoriviera Modřany. %%_x000D_Oblast stavby je umístěna jižně od ulice K Vystrkovu, v blízkosti křižovatky ulic K Vystrkovu / Dolnocholupická / Benáčanova / Rozvodová. Z hlediska širších vztahů je ulice K Vystrkovu napojena na místní sběrnou komunikace Modřanská na východním břehu Vltavy. Jedná se o městskou část P12 – Modřany. %%_x000D_
Jedná se o tři nové obslužné komunikace včetně jejich napojení na stávající komunikační síť a návrh souvisejících zpevněných ploch a chodníků. Součástí dokumentace je i napojení krytých garáží na nové komunikace. Kryté garáže vzniknou rovněž v rámci stavby obytného komplexu Neoriviera. V rámci tohoto projektu bude vyřešeno dopravní značení těchto garážích. Návrh komunikací je proveden s ohledem na nově navrženou polohu obytných souborů A, B, C, D tak, aby byla zajištěna plná obslužnost těchto domů včetně volného příjezdu požární a zdravotnické techniky._x000D_
_x000D_
";"12. 03. 2015";21507.1-2;JB;dstavby;
54;"Obchvat Ostrov OK";"Silnice I/13 - Obchvat Ostrov ";"ŘSD ČR";"SSZ a.s., o.z. 6 ";"RDS 2003";2004;"22 mil. Kč";"Předmětem projektu je návrh okružní křižovatky jako součásti velké mimoúrovňové křižovatky Ostrov – jih. Půdorysné řešení vychází ze studie dopravní obslužnosti nové průmyslové zóny Ostrov a navrhuje napojení zóny na obchvat silnice I/13. Vzhledem k požadavku na připojení další komunikace do průmyslové zóny byla na místě původní klasické průsečné křižovatky navržena nová okružní křižovatka s pěti napojeními s následujícími parametry. %%_x000D__x000D_
Parametry okružní křižovatky:%% _x000D_
vnější průměr D = 51 m%% _x000D_
střední ostrov R = 20 m%%_x000D_
šířka vozovky Š = 5,5 m%%_x000D_
vjezdové poloměry R = 15 – 16 m%%_x000D_
výjezdové poloměry R = 15 – 16 m%%_x000D_
";"12. 03. 2015";06903.1-2;JB;dstavby;
55;"Objízdná trasa Bělohorská-Myslbekova";"Strahovský tunel 2. stavba, hloubený tunel MO, objízdná trasa";"OMI MHMP";"PUDIS a.s. ";"DSP+DPS  2009";2010;"7 mil. Kč";"Stavební úpravy patřící do návrhu objízdné trasy pokrývají úpravy vyvolané požadavkem vedení objízdné trasy z Patočkovy ulice dále ulicemi Pod Královkou – Bělohorskou – Myslbekovou, a to z důvodu výstavby hloubeného tunelu mezi MUK Malovanka a ulicí Myslbekovou. Úpravy přímo navazují na stavby SSZ křižovatek Bělohorská – Pod Královkou, Pod Královkou – Bělohorská, Bělohorská – Myslbekova a přechodu přes ulici Myslbekova._x000D_Stavební úpravy dále řešily zkapacitnění celé trasy lokálním přidáním dalších řadících pruhů. Základní změnou je tedy fyzická úprava chodníkových a vozovkových ploch včetně úprav přilehlých obrubníků, vytvoření signálních a varovných pásů k přechodům pro chodce a snížení obrubníků v místě přechodů, úpravy zastávek tramvajové trati._x000D_
";"12. 03. 2015";29509.1-2;JB;dstavby;
68;"Obytný soubor Prosek, dopravní řešení";"Prosek 1 – Bytové domy Lovosická, Praha 9 – dopravní řešení areálu";"Finep Prosek k.s.";"AHK Architekti, Building s.r.o";"studie, DUR 2008, DSP 2009, DPS 2010 - 2 ";"předpoklad 2011";"45 mil. Kč";"Projekt řeší dopravní řešení v souvislosti se stavbou obytného areálu Prosek 1. Navrhovaný obytný soubor Prosek 1 je situován na severním okraji sídliště Prosek, za obvodovou komunikací Lovosickou. V rámci projektu byly řešeny místní a účelové komunikace, chodníky a komunikace pro pěší, obratiště autobusů na ulici Lovosická a úprava přilehlého úseku komunikace Lovosická, kompletní návrh dopravy v klidu včetně vyřešení organizace a DZ v jednotlivých podzemních garážích a odvodnění všech komunikací a zpevněných ploch.%%_x000D_Návrh vychází z pěti páteřních komunikací K1-K5 o celkové délce cca 905m a jejich napojení na stávající komunikační síť. Autobusové obratiště u ulice Lovosické je navrženo s kapacitou šest autobusů. Odvodnění komunikací je provedeno do nových UV a následně do nově navrženého kanalizačního řadu, odvodnění chodníků je provedeno odtokem do terénu a následným vsakem. V místě napojení na ulici Lovosickou je provedeno pomocí směrových ostrůvků kanalizace a zklidnění dopravy._x000D_
";"12. 03. 2015";22009.4-2;JB;dstavby;
64;"OK Dolnocholupická";"Kruhová křižovatka a rekonstrukce ulic Dolnocholupická a Lešetínská";"Neocity Group CZ";"Neocity Group CZ";"DÚR + DSP 2007";"dosud nerealizováno";"7 mil. Kč";"Projekt řeší rekonstrukci a úpravu stávající křižovatky v Praze 12 – Modřany, rekonstrukcí stávající komunikace Lešetínská a přeložkou dotčených inženýrských sítí. %%_x000D_Křižovatka je umístěna na křížení ulic K Vystrkovu / Dolnocholupická / Benáčanova / Rozvodová. Z hlediska širších vztahů je ulice K Vystrkovu napojena na místní sběrnou komunikace Komořanská a Modřanská na východním (pravém) břehu Vltavy. Jako hlavní dopravní proud je určen směr K Vystrkovu / Dolnocholupická. Z hlediska dopravního významu se jedná o místní komunikace obslužné, které mají svým charakterem umožňovat svedení dopravy z přilehlých obytných souborů na sběrnou komunikační síť (ulice Komořanská, Generála Šišky (dříve Kolarovova)). %%_x000D_
Součástí je úprava veřejného osvětlení v rozsahu rekonstrukce komunikací vyřešení odvodnění a vyvolané přeložky kabelů PRE a Telefónica 02._x000D_
";"12. 03. 2015";21707.1-2;JB;dstavby;
38;"OK Roztocká";"Okružní křižovatka Roztocká - Kamýcká";"Hlavní město Praha";"TSK hl. m. Prahy";"DÚR 2007, DSP +DZS 2008 - 2010";"V přípravě";"15 mil. Kč (KOM)";"Projekt řeší návrh rekonstrukce stykové křižovatky Roztocká-Kamýcká. Ulice Roztocká je hlavní komunikace spojující centrum s Roztoky a přilehlými oblastmi. Ulice Kamýcká slouží pro spojení centra se Suchdolem a přilehlými oblastmi. Styková křižovatka je zde nahrazena křižovatkou okružní, čímž dojde k dopravnímu zklidnění a zvýšení bezpečnosti v místě napojení ulice Kamýcké na ulici Roztockou. Okružní křižovatka je navrhována s ohledem na minimální stavební náklady – proto jsou zčásti využívány stávající konstrukce vozovek a chodníků a nová konstrukce je použita pouze tam, kde je to nezbytné z hlediska směrového a výškového řešení. Součástí projektu jsou i přilehlé investice, související s rekonstrukcí křižovatky. Jedná se především o úpravu VO, ochranu stávajících inženýrských sítí a úpravy stávajícího odvodnění.%%_x000D_Dále je součástí projektu i návrh nových tras cyklistické dopravy – nová cyklotrasa bude vedena ze stávající cyklotrasy ze směru CENTRUM a měla by tuto cyklotrasu prodloužit a napojit na cyklostezku, která je vedena dále mezi ulicí Roztocká a Vltavou ve směru Roztoky. Jedná se fakticky o úpravy stávajícího stavu pro bezpečnější převedení cyklistů prostorem křižovatky. Nová cyklostezka bude vedena po ulici Roztocká v hlavním dopravním prostoru. V místě, kde jsou nedostatečné šířkové poměry, bude ulice Roztocká rozšířena._x000D_
";"12. 03. 2015";12407.3-2;JB;dstavby;
84;"OK Tachov";"Okružní křižovatka silnic II/198 a III/19846 v Tachově";"SÚS Stříbro";"SÚS Stříbro";"Studie + DUR 2005";2006;"16,4 mil. Kč";"Úkolem bylo vypracovat variantní řešení stávající křižovatky silnic II/198 ulice Plzeňská a III/19846 ulice Chodská na okraji Tachova na příjezdu od dálnice D5 a Plzně. %%_x000D_V rámci studie byly vypracovány tři varianty dopravního řešení – dva nadále počítaly s upravenou stykovou křižovatkou a třetí představoval okružní křižovatku. Křižovatka je umístěna v částečně nepřehledném místě, což podmiňuje velkou nehodovost. Z důvodu zvýšení bezpečnosti a zklidnění dopravy bylo rozhodnuto do místa stykové křižovatky v rámci DÚR navrhnout křižovatku okružní s nezbytnými okolními úpravami. Průměr křižovatky činí 30 m, z čehož střední ostrůvek má průměr D = 14 m, prstenec 1,5 m. Od středu křižovatky dochází k úpravám i návazných komunikací, a to Plzeňské a tř. Míru v celkové délce 137 m a Chodské v délce 50 m. Kategorie řešených komunikací je MO 8/30. Nájezdové poloměry byly navrženy o poloměru R = 12 m, výjezdové R = 15 m v šířkách 4,5 – 4,7 m. Vzhledem k návaznostem na okolí byly výškové úpravy minimální._x000D_
";"12. 03. 2015";11505.2-2;JB;dstavby;
